file	grid	image_id	name	variant	source	dave_num	rarity
CROSS.png	A1	01	CROSS	before	Screenshot 2026-08-31 at 2.16.50 PM.png	1	common
FOLEY.png	A4	02	FOLEY	current	Screenshot 2026-08-31 at 1.30.36 PM.png	2	common
MUSTAINE.png	A6	03	MUSTAINE	current	Screenshot 2026-08-31 at 1.31.05 PM.png	3	common
LETTERMAN.png	B2	04	LETTERMAN	current	Screenshot 2026-08-31 at 1.31.17 PM.png	4	common
BOWIE.png	B3	05	BOWIE	before	Screenshot 2026-08-31 at 1.32.05 PM.png	5	common
DLR.png	B5	06	DLR	before	Screenshot 2026-08-31 at 1.32.22 PM.png	6	common
2001.png	C2	07	2001	current	Screenshot 2026-08-31 at 1.32.45 PM.png	7	common
COULIER.png	C3	08	COULIER	before	Screenshot 2026-08-31 at 1.33.43 PM.png	8	common
GAHAN.png	C5	09	GAHAN	before	Screenshot 2026-08-31 at 1.35.18 PM.png	9	common
THOMAS.png	D1	10	THOMAS	before	Screenshot 2026-08-31 at 1.35.56 PM.png	10	common
WENDYS.png	D3	11	WENDYS	before	Screenshot 2026-08-31 at 1.36.30 PM.png	11	common
MURRAY.png	E2	13	MURRAY	current	Screenshot 2026-08-31 at 1.37.36 PM.png	12	common
HASSELHOFF.png	E3	14	HASSELHOFF	before	Screenshot 2026-08-31 at 1.38.18 PM.png	13	common
THEWLIS.png	E6	15	THEWLIS	current	Screenshot 2026-08-31 at 1.38.49 PM.png	14	common
DUCHOVNY.png	F1	16	DUCHOVNY	before	Screenshot 2026-08-31 at 1.39.53 PM.png	15	common
LYNCH.png	F4	17	LYNCH	current	Screenshot 2026-08-31 at 1.41.07 PM.png	16	common
JONES.png	F5	18	JONES	before	Screenshot 2026-08-31 at 1.42.43 PM.png	17	common
PIRATES.png	G1	19	PIRATES	before	Screenshot 2026-08-31 at 1.43.36 PM.png	18	common
VANIAN.png	G4	20	VANIAN	current	Screenshot 2026-08-31 at 1.46.45 PM.png	19	common
BYRNE.png	G6	21	BYRNE	current	Screenshot 2026-08-31 at 1.48.15 PM.png	20	common
DAVIES.png	H1	22	DAVIES	before	Screenshot 2026-08-31 at 1.48.32 PM.png	21	rare
THE DAVE.png	H5	24	THE DAVE	before	Screenshot 2026-08-31 at 1.51.10 PM.png	22	common
GNOME.png	I1	25	GNOME	before	Screenshot 2026-08-31 at 1.51.47 PM.png	23	common
SUPER.png	I3	26	SUPER	before	Screenshot 2026-08-31 at 1.53.07 PM.png	24	common
IKNOW.png	J1	28	IKNOW	before	Screenshot 2026-08-31 at 1.57.29 PM.png	25	common
RUFFIN.png	J5	30	RUFFIN	before	Screenshot 2026-08-31 at 2.31.35 PM.png	26	common
GRIER.png	K1	31	GRIER	before	Screenshot 2026-08-31 at 2.35.17 PM.png	27	common
KEITH.png	K3	32	KEITH	before	Screenshot 2026-08-31 at 2.36.45 PM.png	28	common
THOMPSON.png	K5	33	THOMPSON	before	Screenshot 2026-08-31 at 2.37.32 PM.png	29	common
WALKER.png	L1	34	WALKER	before	Screenshot 2026-08-31 at 2.40.55 PM.png	30	common
ATTENBOROUGH.png	EXTRA	--	ATTENBOROUGH	current	Screenshot 2026-08-31 at 3.19.34 PM.png	31	common
GILMOUR.png	NEW	--	GILMOUR	current	4fde6d51-image.jpg	32	common
DAVID NO.png	NEW	--	DAVID NO	current	348c1fe2-image.jpg	33	common
